game_id,team_id,plus_minus,avg_opp_elo,is_home,days_since_last,is_back_to_back
0021900873,1610612752,-9.0,1474.7817736159332,0.0,1.0,1.0
0021900881,1610612758,3.0,1513.6392995720341,0.0,1.0,1.0
0021900882,1610612760,-47.0,1464.8444117992276,0.0,1.0,1.0
0021900888,1610612737,12.0,1500.1424126069758,1.0,1.0,1.0
0021900889,1610612751,-3.0,1461.5255709843473,0.0,1.0,1.0
0021900889,1610612748,3.0,1479.6974119144234,1.0,1.0,1.0
0021900890,1610612739,-9.0,1484.9262152823278,1.0,1.0,1.0
0021900891,1610612763,17.0,1500.5527436815871,1.0,1.0,1.0
0021900893,1610612753,-1.0,1506.7746981371683,0.0,1.0,1.0
0021900894,1610612756,-16.0,1525.8478726924882,1.0,1.0,1.0
0021900900,1610612747,8.0,1483.2030235695997,0.0,1.0,1.0
0021900901,1610612744,-14.0,1525.3545526159783,1.0,1.0,1.0
0021900906,1610612749,-16.0,1487.4331179571057,0.0,1.0,1.0
0021900907,1610612742,-2.0,1461.396541256096,0.0,1.0,1.0
0021900909,1610612759,1.0,1545.6681512657947,0.0,1.0,1.0
0021900917,1610612738,6.0,1504.79245750271,0.0,1.0,1.0
0021900918,1610612760,7.0,1495.197783051774,0.0,1.0,1.0
0021900920,1610612751,-39.0,1483.0341867749712,1.0,1.0,1.0
0021900922,1610612750,7.0,1525.3361008885854,1.0,1.0,1.0
0021900923,1610612740,-4.0,1505.2605576921042,0.0,1.0,1.0
0021900925,1610612764,-21.0,1471.5258631139668,0.0,1.0,1.0
0021900941,1610612762,6.0,1518.7710771107193,0.0,1.0,1.0
